SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;QT_APTOS;QT_VOTOS_BRANCOS;QT_VOTOS_NULOS;TOTAL_BRANCO_NULO;PERC_DESCONTENTES;CD_MUNICIPIO_IBGE;NM_MUNICIPIO_IBGE;POPULACAO_2022;PROP_ELEITORADO
MG;42315;CAMPOS GERAIS;20716;953;1378;2331;11.252172234022012;3111606;Campos Gerais - MG;26105;79.35644512545488
MG;42323;JOSÉ RAYDAN;4238;77;314;391;9.226050023596036;3136553;José Raydan - MG;4268;99.2970946579194
MG;42331;CANAÃ;4319;176;383;559;12.94281083584163;3111705;Canaã - MG;4715;91.60127253446447
MG;42340;SÃO SEBASTIÃO DA VARGEM ALEGRE;2751;106;239;345;12.540894220283532;3164431;São Sebastião da Vargem Alegre - MG;3113;88.37134596851911
MG;42358;CANÁPOLIS;8806;356;501;857;9.732000908471496;3111804;Canápolis - MG;10608;83.01282051282051
MG;42366;SÃO SEBASTIÃO DO ANTA;5566;123;343;466;8.372260150916278;3164472;São Sebastião do Anta - MG;6194;89.8611559573781
MG;42374;CANA VERDE;4763;183;354;537;11.274406886416124;3111903;Cana Verde - MG;5272;90.34522003034901
MG;42382;SERRANÓPOLIS DE MINAS;3966;88;300;388;9.78315683308119;3166956;Serranópolis de Minas - MG;4399;90.15685383041601
MG;42390;CANDEIAS;12152;1038;1294;2332;19.190256747860435;3112000;Candeias - MG;14001;86.79380044282551
MG;42404;SETUBINHA;8993;139;901;1040;11.564550205715555;3165552;Setubinha - MG;9917;90.68266612886961
MG;42412;CAPARAÓ;4308;128;275;403;9.35468895078923;3112109;Caparaó - MG;5048;85.34072900158478
MG;42420;TAPARUBA;3650;108;257;365;10.0;3168051;Taparuba - MG;3387;107.76498376144082
MG;42439;CAPELA NOVA;4457;326;433;759;17.02939196769127;3112208;Capela Nova - MG;4362;102.17790004585052
MG;42447;UNIÃO DE MINAS;2989;76;173;249;8.330545332887253;3170438;União de Minas - MG;3828;78.08254963427376
MG;42455;CAPELINHA;29419;1231;2284;3515;11.948060777048845;3112307;Capelinha - MG;39626;74.24165951647907
MG;42463;URUANA DE MINAS;3482;49;177;226;6.490522688110281;3170479;Uruana de Minas - MG;3282;106.09384521633149
MG;42471;CAPETINGA;5714;278;456;734;12.845642282114106;3112406;Capetinga - MG;6562;87.07711063700091
MG;42480;VARGEM GRANDE DO RIO PARDO;4201;54;291;345;8.212330397524399;3170651;Vargem Grande do Rio Pardo - MG;4633;90.67558817181092
MG;42498;CAPIM BRANCO;8143;396;525;921;11.310327888984403;3112505;Capim Branco - MG;10663;76.36687611366408
MG;42501;VARJÃO DE MINAS;6554;260;315;575;8.773268233140067;3170750;Varjão de Minas - MG;6969;94.045056679581
MG;42510;CAPINÓPOLIS;11501;411;640;1051;9.138335796887228;3112604;Capinópolis - MG;14655;78.47833503923576
MG;42528;VERDELÂNDIA;6916;156;501;657;9.49971081550029;3171030;Verdelândia - MG;7672;90.14598540145985
MG;42536;CAPITÃO ENÉAS;12475;416;986;1402;11.238476953907815;3112703;Capitão Enéas - MG;14108;88.42500708817693
MG;42544;VEREDINHA;5075;125;357;482;9.497536945812808;3171071;Veredinha - MG;5181;97.95406292221578
MG;42552;CAPITÓLIO;7836;240;390;630;8.039816232771821;3112802;Capitólio - MG;10380;75.4913294797688
MG;42560;VERMELHO NOVO;4778;219;392;611;12.787777312683131;3171154;Vermelho Novo - MG;4899;97.53010818534395
MG;42579;CAPUTIRA;8073;502;697;1199;14.851975721540938;3112901;Caputira - MG;8936;90.3424350940018
MG;42587;TOCOS DO MOJI;3969;195;239;434;10.9347442680776;3169059;Tocos do Moji - MG;3826;103.73758494511239
MG;42595;CARAÍ;14958;371;1427;1798;12.020323572670142;3113008;Caraí - MG;19548;76.51933701657458
MG;42617;CARANAÍBA;3205;180;305;485;15.132605304212168;3113107;Caranaíba - MG;2933;109.27378111148994
MG;42633;CARANDAÍ;20394;1956;2118;4074;19.976463665784053;3113206;Carandaí - MG;23812;85.64589282714597
MG;42650;CARANGOLA;25273;1077;1904;2981;11.795196454714516;3113305;Carangola - MG;31240;80.89948783610755
MG;42676;CARATINGA;65031;2941;4534;7475;11.494517999108115;3113404;Caratinga - MG;87360;74.44024725274726
MG;42692;CARBONITA;7984;258;650;908;11.372745490981965;3113503;Carbonita - MG;8512;93.796992481203
MG;42714;CAREAÇU;5085;191;277;468;9.20353982300885;3113602;Careaçu - MG;6816;74.60387323943662
MG;42730;CARLOS CHAGAS;16553;500;1033;1533;9.261161118830422;3113701;Carlos Chagas - MG;18615;88.9229116304056
MG;42757;CARMÉSIA;2405;29;199;228;9.48024948024948;3113800;Carmésia - MG;2605;92.32245681381957
MG;42773;CARMO DA CACHOEIRA;9591;500;781;1281;13.356271504535504;3113909;Carmo da Cachoeira - MG;11547;83.06053520394909
MG;42790;CARMO DA MATA;9930;590;1020;1610;16.2134944612286;3114006;Carmo da Mata - MG;11019;90.11707051456574
MG;42811;CARMO DE MINAS;10001;483;726;1209;12.088791120887912;3114105;Carmo de Minas - MG;13797;72.4867724867725
MG;42838;CARMO DO CAJURU;18663;1186;1492;2678;14.349247173551948;3114204;Carmo do Cajuru - MG;23479;79.48805315388219
MG;42854;CARMO DO PARANAÍBA;22761;1301;1353;2654;11.660296120557092;3114303;Carmo do Paranaíba - MG;29011;78.45644755437593
MG;42870;CARMO DO RIO CLARO;15740;629;851;1480;9.40279542566709;3114402;Carmo do Rio Claro - MG;20954;75.11692278323949
MG;42897;CARMÓPOLIS DE MINAS;14140;804;1078;1882;13.30975954738331;3114501;Carmópolis de Minas - MG;18003;78.5424651446981
MG;42919;CARRANCAS;3492;105;248;353;10.108820160366552;3114600;Carrancas - MG;4049;86.24351691775746
MG;42935;CARVALHÓPOLIS;3255;88;203;291;8.940092165898617;3114709;Carvalhópolis - MG;3341;97.42592038311882
MG;42951;CARVALHOS;4034;198;381;579;14.352999504214178;3114808;Carvalhos - MG;4422;91.22568973315242
MG;42978;CASA GRANDE;2540;105;211;316;12.440944881889765;3114907;Casa Grande - MG;2214;114.72448057813911
MG;42994;CASCALHO RICO;3517;115;217;332;9.439863520045494;3115003;Cascalho Rico - MG;2712;129.68289085545723
MG;43010;CÁSSIA;14325;631;938;1569;10.952879581151832;3115102;Cássia - MG;17155;83.50335179248033
MG;43036;CONCEIÇÃO DA BARRA DE MINAS;3688;153;309;462;12.52711496746204;3115201;Conceição da Barra de Minas - MG;3560;103.59550561797752
MG;43052;CATAGUASES;53654;2579;3568;6147;11.456741342677152;3115300;Cataguases - MG;66261;80.97372511733901
MG;43079;CATAS ALTAS DA NORUEGA;3858;149;338;487;12.623120787973043;3115409;Catas Altas da Noruega - MG;3110;124.05144694533763
MG;43095;CAXAMBU;18038;923;1102;2025;11.226300033263112;3115508;Caxambu - MG;21056;85.66679331306992
MG;43117;CEDRO DO ABAETÉ;1284;49;63;112;8.722741433021806;3115607;Cedro do Abaeté - MG;1081;118.77890841813137
MG;43133;CENTRAL DE MINAS;5976;140;333;473;7.9149933065595715;3115706;Central de Minas - MG;6171;96.84005833738453
MG;43150;CENTRALINA;7350;371;466;837;11.387755102040815;3115805;Centralina - MG;10207;72.00940531008132
MG;43176;CHÁCARA;3612;91;175;266;7.3643410852713185;3115904;Chácara - MG;3075;117.46341463414633
MG;43192;CHALÉ;5230;197;334;531;10.152963671128107;3116001;Chalé - MG;6075;86.09053497942386
MG;43214;CHAPADA DO NORTE;9356;154;712;866;9.256092347156905;3116100;Chapada do Norte - MG;10337;90.50981909644965
MG;43230;CHIADOR;2926;93;220;313;10.697197539302802;3116209;Chiador - MG;2800;104.5
MG;43257;CIPOTÂNEA;5783;359;528;887;15.338059830537784;3116308;Cipotânea - MG;5581;103.6194230424655
MG;43273;CLARAVAL;4576;172;221;393;8.588286713286713;3116407;Claraval - MG;4658;98.23958780592528
MG;43290;CLARO DOS POÇÕES;7468;158;525;683;9.145688269951794;3116506;Claro dos Poções - MG;7166;104.21434552051355
MG;43311;CLÁUDIO;21769;1351;1485;2836;13.027699940282051;3116605;Cláudio - MG;30159;72.18077522464273
MG;43338;COIMBRA;6326;430;703;1133;17.910211824217516;3116704;Coimbra - MG;7117;88.88576647463819
MG;43354;COLUNA;6834;192;621;813;11.89640035118525;3116803;Coluna - MG;8163;83.71922087467843
MG;43370;COMENDADOR GOMES;2821;78;119;197;6.983339241403757;3116902;Comendador Gomes - MG;2773;101.7309772809232
MG;43397;COMERCINHO;6777;127;525;652;9.620776154640696;3117009;Comercinho - MG;6660;101.75675675675674
MG;43419;CONCEIÇÃO DA APARECIDA;8060;328;403;731;9.069478908188586;3117108;Conceição da Aparecida - MG;10371;77.71671005688941
MG;43435;CONCEIÇÃO DAS PEDRAS;2696;134;221;355;13.16765578635015;3117207;Conceição das Pedras - MG;2772;97.25829725829726
MG;43451;CONCEIÇÃO DAS ALAGOAS;19610;1114;1342;2456;12.52422233554309;3117306;Conceição das Alagoas - MG;28381;69.0955216518093
MG;43478;CONCEIÇÃO DE IPANEMA;4201;79;256;335;7.974291835277316;3117405;Conceição de Ipanema - MG;4409;95.2823769562259
MG;43494;CONCEIÇÃO DO MATO DENTRO;18089;796;1646;2442;13.499917076676432;3117504;Conceição do Mato Dentro - MG;23163;78.09437464922506
MG;43516;CONCEIÇÃO DO PARÁ;5111;210;319;529;10.350225004891412;3117603;Conceição do Pará - MG;5415;94.38596491228071
MG;43532;CONCEIÇÃO DO RIO VERDE;10382;612;706;1318;12.695049123482953;3117702;Conceição do Rio Verde - MG;12541;82.78446694840922
MG;43559;CONCEIÇÃO DOS OUROS;8612;433;592;1025;11.901997213190896;3117801;Conceição dos Ouros - MG;10880;79.15441176470588
MG;43575;CONGONHAL;9324;378;483;861;9.234234234234236;3117900;Congonhal - MG;11083;84.12884598033024
MG;43591;CONGONHAS;42137;2987;3969;6956;16.508057051997056;3118007;Congonhas - MG;52890;79.66912459822272
MG;43613;CONGONHAS DO NORTE;4227;127;546;673;15.921457298320322;3118106;Congonhas do Norte - MG;4831;87.49741254398675
MG;43630;CONQUISTA;5418;265;364;629;11.609449981543005;3118205;Conquista - MG;6694;80.93815357036152
MG;43656;CONSELHEIRO LAFAIETE;97135;6117;9235;15352;15.804807741802646;3118304;Conselheiro Lafaiete - MG;131621;73.79901383517827
MG;43672;CONSELHEIRO PENA;16850;559;909;1468;8.712166172106825;3118403;Conselheiro Pena - MG;20824;80.91625048021514
MG;43699;CONSOLAÇÃO;1923;62;117;179;9.308372334893397;3118502;Consolação - MG;1563;123.03262955854126
MG;43710;CONTAGEM;452222;19763;30469;50232;11.107818726200849;3118601;Contagem - MG;621863;72.72051882810202
MG;43737;COQUEIRAL;7725;286;484;770;9.967637540453074;3118700;Coqueiral - MG;9023;85.6145406184196
MG;43753;CORAÇÃO DE JESUS;21210;489;1527;2016;9.504950495049505;3118809;Coração de Jesus - MG;25377;83.57961934034755
MG;43770;CORDISBURGO;7188;313;432;745;10.364496382860324;3118908;Cordisburgo - MG;7547;95.24314297071685
MG;43796;CORDISLÂNDIA;2729;84;208;292;10.699890069622572;3119005;Cordislândia - MG;3200;85.28125
MG;43818;CORINTO;20020;766;1233;1999;9.985014985014985;3119104;Corinto - MG;23532;85.07564167941526
MG;43834;COROACI;7624;264;828;1092;14.323189926547744;3119203;Coroaci - MG;10884;70.04777655273796
MG;43850;COROMANDEL;24081;917;1297;2214;9.193970350068518;3119302;Coromandel - MG;28894;83.3425624697169
MG;43877;CORONEL FABRICIANO;81620;3605;4465;8070;9.887282528791964;3119401;Coronel Fabriciano - MG;104736;77.92926978307364
MG;43893;CORONEL MURTA;7155;236;587;823;11.502445842068482;3119500;Coronel Murta - MG;8200;87.2560975609756
MG;43915;CORONEL PACHECO;2857;94;198;292;10.22051102555128;3119609;Coronel Pacheco - MG;2762;103.43953656770456
MG;43931;CORONEL XAVIER CHAVES;2942;179;301;480;16.315431679129844;3119708;Coronel Xavier Chaves - MG;3486;84.39472174411934
MG;43958;CÓRREGO DANTA;3048;65;175;240;7.874015748031496;3119807;Córrego Danta - MG;2960;102.97297297297297
MG;43974;CÓRREGO DO BOM JESUS;4122;164;283;447;10.844250363901018;3119906;Córrego do Bom Jesus - MG;4272;96.48876404494382
MG;43990;CÓRREGO NOVO;3524;107;257;364;10.32917139614075;3120003;Córrego Novo - MG;2875;122.57391304347827
MG;44016;COUTO DE MAGALHÃES DE MINAS;3838;94;308;402;10.47420531526837;3120102;Couto de Magalhães de Minas - MG;4245;90.41224970553593
MG;44032;CRISTAIS;8400;558;754;1312;15.61904761904762;3120201;Cristais - MG;12197;68.86939411330656
MG;44059;CRISTÁLIA;5134;130;352;482;9.388391118036616;3120300;Cristália - MG;5121;100.2538566686194
MG;44075;CRISTIANO OTONI;4425;307;483;790;17.853107344632768;3120409;Cristiano Otoni - MG;4667;94.81465609599314
MG;44091;CRISTINA;8226;302;572;874;10.62484804279115;3120508;Cristina - MG;10374;79.29438982070562
MG;44113;CRUCILÂNDIA;5388;215;372;587;10.894580549368968;3120607;Crucilândia - MG;5434;99.15347810084653
MG;44130;CRUZEIRO DA FORTALEZA;3896;125;224;349;8.957905544147843;3120706;Cruzeiro da Fortaleza - MG;3521;110.65038341380289
MG;44156;CRUZÍLIA;12960;686;924;1610;12.422839506172838;3120805;Cruzília - MG;15362;84.36401510220023
MG;44172;CURVELO;60042;3457;3747;7204;11.998267879151262;3120904;Curvelo - MG;80665;74.43376929275398
MG;44199;DATAS;4990;182;502;684;13.707414829659315;3121001;Datas - MG;5465;91.30832570905764
MG;44210;DELFIM MOREIRA;6720;357;433;790;11.75595238095238;3121100;Delfim Moreira - MG;7952;84.50704225352112
MG;44237;DELFINÓPOLIS;6182;201;390;591;9.56001294079586;3121209;Delfinópolis - MG;8393;73.65661861074705
MG;44253;DESCOBERTO;4463;210;347;557;12.480394353573828;3121308;Descoberto - MG;4928;90.56412337662337
MG;44270;DESTERRO DE ENTRE RIOS;6125;524;500;1024;16.718367346938777;3121407;Desterro de Entre Rios - MG;7653;80.03397360512217
MG;44296;DESTERRO DO MELO;3546;97;362;459;12.944162436548224;3121506;Desterro do Melo - MG;2994;118.43687374749499
MG;44318;DIAMANTINA;37877;1388;2621;4009;10.584259577052038;3121605;Diamantina - MG;47702;79.40337931323634
MG;44334;DIOGO DE VASCONCELOS;3752;118;385;503;13.406183368869936;3121704;Diogo de Vasconcelos - MG;3549;105.7199211045365
MG;44350;DIONÍSIO;6934;253;474;727;10.48456879146236;3121803;Dionísio - MG;6847;101.2706294727618
MG;44377;DIVINÉSIA;4519;133;372;505;11.175038725381722;3121902;Divinésia - MG;4226;106.93327023189778
MG;44393;DIVINO;15860;642;1080;1722;10.85750315258512;3122009;Divino - MG;20706;76.59615570366077
MG;44415;DIVINO DAS LARANJEIRAS;4687;93;264;357;7.616812459995732;3122108;Divino das Laranjeiras - MG;4178;112.18286261369077
MG;44431;DIVINOLÂNDIA DE MINAS;6435;205;580;785;12.1989121989122;3122207;Divinolândia de Minas - MG;6516;98.75690607734806
MG;44458;DIVINÓPOLIS;170449;8342;11320;19662;11.535415285510622;3122306;Divinópolis - MG;231091;73.75838955216776
MG;44474;DIVISA NOVA;4897;147;286;433;8.842148254033082;3122405;Divisa Nova - MG;5851;83.69509485558024
MG;44490;DOM CAVATI;4120;130;282;412;10.0;3122504;Dom Cavati - MG;4904;84.01305057096248
MG;44512;DOM JOAQUIM;4030;122;390;512;12.70471464019851;3122603;Dom Joaquim - MG;4899;82.26168605837925
MG;44539;DOM SILVÉRIO;4460;165;519;684;15.336322869955158;3122702;Dom Silvério - MG;5228;85.30986993114001
MG;44555;DOM VIÇOSO;2873;101;173;274;9.537069265576053;3122801;Dom Viçoso - MG;3095;92.82714054927303
MG;44598;DORES DE CAMPOS;7812;513;786;1299;16.62826420890937;3123007;Dores de Campos - MG;10007;78.06535425202358
MG;44610;DORES DE GUANHÃES;5134;124;470;594;11.56992598363849;3123106;Dores de Guanhães - MG;5029;102.08789023662757
MG;44636;DORES DO INDAIÁ;11305;407;609;1016;8.98717381689518;3123205;Dores do Indaiá - MG;12630;89.50910530482977
MG;44652;DORES DO TURVO;5206;136;379;515;9.892431809450636;3123304;Dores do Turvo - MG;4987;104.39141768598357
MG;44679;DORESÓPOLIS;2263;79;131;210;9.279717189571365;3123403;Doresópolis - MG;1461;154.89390828199862
MG;44695;DOURADOQUARA;1980;65;106;171;8.636363636363637;3123502;Douradoquara - MG;1829;108.2558775287042
MG;44717;ELÓI MENDES;19981;1004;1292;2296;11.490916370552023;3123601;Elói Mendes - MG;26336;75.86953219927096
MG;44733;ENGENHEIRO CALDAS;7828;220;500;720;9.197751660705162;3123700;Engenheiro Caldas - MG;13622;57.46586404345911
MG;44750;ENGENHEIRO NAVARRO;6207;157;435;592;9.537618817464152;3123809;Engenheiro Navarro - MG;6354;97.68649669499528
MG;44776;ENTRE RIOS DE MINAS;12463;647;1026;1673;13.423734253390036;3123908;Entre Rios de Minas - MG;14746;84.51783534517836
MG;44792;ERVÁLIA;15521;1465;1604;3069;19.773210489014883;3124005;Ervália - MG;20255;76.62799308812639
MG;44814;ESMERALDAS;52957;2684;3849;6533;12.336423891081443;3124104;Esmeraldas - MG;85598;61.86709969859109
MG;44830;ESPERA FELIZ;17904;1066;1381;2447;13.667336907953532;3124203;Espera Feliz - MG;24102;74.28429176001991
MG;44857;ESPINOSA;23269;825;1518;2343;10.069190768834073;3124302;Espinosa - MG;30443;76.43464835922872
MG;44873;ESPÍRITO SANTO DO DOURADO;5089;218;388;606;11.908036942424838;3124401;Espírito Santo do Dourado - MG;6611;76.97776433217365
MG;44890;ESTIVA;9251;539;594;1133;12.247324613555293;3124500;Estiva - MG;11502;80.42949052338724
MG;44911;ESTRELA DALVA;2764;47;178;225;8.140376266280752;3124609;Estrela Dalva - MG;2186;126.44098810612991
MG;44938;ESTRELA DO INDAIÁ;2932;62;155;217;7.401091405184175;3124708;Estrela do Indaiá - MG;2772;105.77200577200576
MG;44954;ESTRELA DO SUL;5746;271;431;702;12.217194570135746;3124807;Estrela do Sul - MG;6840;84.00584795321637
MG;44970;EUGENÓPOLIS;9080;336;569;905;9.966960352422907;3124906;Eugenópolis - MG;10801;84.06629015831868
MG;44997;EWBANK DA CÂMARA;4252;177;287;464;10.912511759172157;3125002;Ewbank da Câmara - MG;3875;109.72903225806452
MG;45012;EXTREMA;37038;2713;2766;5479;14.792915384200011;3125101;Extrema - MG;53482;69.25320668636176
MG;45039;FAMA;3140;97;168;265;8.439490445859873;3125200;Fama - MG;2578;121.79984484096198
MG;45055;FARIA LEMOS;3193;85;223;308;9.646100845599747;3125309;Faria Lemos - MG;3188;100.1568381430364
MG;45071;FELÍCIO DOS SANTOS;5024;101;393;494;9.8328025477707;3125408;Felício dos Santos - MG;5133;97.87648548607052
MG;45098;SÃO GONÇALO DO RIO PRETO;3016;90;256;346;11.472148541114056;3125507;São Gonçalo do Rio Preto - MG;3032;99.47229551451187
MG;45110;FELISBURGO;5634;111;523;634;11.253106141285055;3125606;Felisburgo - MG;6489;86.82385575589458
MG;45136;FELIXLÂNDIA;11816;559;737;1296;10.968178740690588;3125705;Felixlândia - MG;13978;84.53283731578193
MG;45152;FERNANDES TOURINHO;2756;47;167;214;7.764876632801161;3125804;Fernandes Tourinho - MG;2789;98.81678020795984
MG;45179;FERROS;8657;241;696;937;10.823610950675754;3125903;Ferros - MG;9590;90.2711157455683
MG;45195;FLORESTAL;6637;228;416;644;9.703179147205065;3126000;Florestal - MG;8045;82.49844623990056
MG;45217;FORMIGA;54800;3122;3934;7056;12.875912408759124;3126109;Formiga - MG;68248;80.2953932715977
MG;45233;FORMOSO;5838;102;413;515;8.82151421719767;3126208;Formoso - MG;7949;73.44320040256636
MG;45250;FORTALEZA DE MINAS;3297;121;257;378;11.464968152866245;3126307;Fortaleza de Minas - MG;3477;94.82312338222606
MG;45276;FORTUNA DE MINAS;2633;82;151;233;8.849221420432967;3126406;Fortuna de Minas - MG;3093;85.12770772712577
MG;45292;FRANCISCO BADARÓ;7223;139;478;617;8.542156998477086;3126505;Francisco Badaró - MG;7366;98.05864784143361
MG;45314;FRANCISCO DUMONT;4175;116;303;419;10.035928143712574;3126604;Francisco Dumont - MG;4503;92.71596713302243
MG;45330;FRANCISCO SÁ;19551;510;1542;2052;10.495626822157435;3126703;Francisco Sá - MG;23476;83.28079741012098
MG;45357;FREI GASPAR;5342;109;438;547;10.239610632721826;3126802;Frei Gaspar - MG;5640;94.71631205673758
MG;45373;FREI INOCÊNCIO;6959;150;445;595;8.550079034344014;3126901;Frei Inocêncio - MG;8226;84.59761731096523
MG;45390;FRONTEIRA;10337;421;754;1175;11.366934313630647;3127008;Fronteira - MG;14540;71.09353507565336
MG;45411;FRUTAL;41863;2534;2467;5001;11.946109930009792;3127107;Frutal - MG;58588;71.45319860722333
MG;45438;FUNILÂNDIA;4914;123;305;428;8.70980870980871;3127206;Funilândia - MG;4686;104.86555697823303
MG;45454;GALILÉIA;5460;134;275;409;7.490842490842491;3127305;Galiléia - MG;6222;87.75313404050145
MG;45470;GONÇALVES;4011;147;265;412;10.271752680129644;3127404;Gonçalves - MG;4727;84.85297228686271
MG;45497;GONZAGA;4874;143;427;570;11.69470660648338;3127503;Gonzaga - MG;5230;93.19311663479924
MG;45519;GOUVEIA;10568;369;863;1232;11.65783497350492;3127602;Gouveia - MG;11331;93.2662607007325
MG;45535;GOVERNADOR VALADARES;215554;9860;11331;21191;9.830947233639831;3127701;Governador Valadares - MG;257171;83.81738220872494
MG;45551;GRÃO MOGOL;11921;241;928;1169;9.806224310041104;3127800;Grão Mogol - MG;13901;85.75642040140997
MG;45578;GRUPIARA;1642;45;89;134;8.160779537149818;3127909;Grupiara - MG;1392;117.95977011494251
MG;45594;GUANHÃES;25099;1107;2235;3342;13.315271524761943;3128006;Guanhães - MG;32244;77.84083860563206
MG;45616;GUAPÉ;10866;413;562;975;8.972943125345113;3128105;Guapé - MG;13772;78.89921580017428
MG;45632;GUARACIABA;8272;301;823;1124;13.588007736943908;3128204;Guaraciaba - MG;9753;84.8149287398749
MG;45659;GUARANÉSIA;15365;934;1229;2163;14.077448747152618;3128303;Guaranésia - MG;19150;80.23498694516972
MG;45675;GUARANI;6952;318;612;930;13.377445339470656;3128402;Guarani - MG;7714;90.12185636505056
MG;45691;GUARARÁ;3548;183;293;476;13.416009019165728;3128501;Guarará - MG;3149;112.67068910765323
MG;45713;GUARDA-MOR;5912;273;312;585;9.895128552097429;3128600;Guarda-Mor - MG;6539;90.41137788652699
MG;45730;GUAXUPÉ;38731;2184;2802;4986;12.873408897265756;3128709;Guaxupé - MG;50911;76.07589715385673
MG;45756;GUIDOVAL;6403;268;486;754;11.775730126503202;3128808;Guidoval - MG;7131;89.79105314822606
MG;45772;GUIMARÂNIA;6922;329;562;891;12.872002311470672;3128907;Guimarânia - MG;8478;81.64661476763388
MG;45799;GUIRICEMA;7226;296;630;926;12.814835316911156;3129004;Guiricema - MG;7778;92.90305991257392
MG;45810;GURINHATÃ;5000;101;211;312;6.239999999999999;3129103;Gurinhatã - MG;5192;96.3020030816641
MG;45837;HELIODORA;5127;247;390;637;12.42441973863858;3129202;Heliodora - MG;6134;83.58330616237365
MG;45853;IAPU;8550;269;540;809;9.461988304093568;3129301;Iapu - MG;12030;71.07231920199501
MG;45870;IBERTIOGA;4983;268;395;663;13.305237808549068;3129400;Ibertioga - MG;5198;95.8637937668334
MG;45896;IBIÁ;17186;837;1001;1838;10.694751541952751;3129509;Ibiá - MG;22229;77.31341940708084
MG;45918;IBIAÍ;6558;97;397;494;7.532784385483379;3129608;Ibiaí - MG;6286;104.32707604199808
MG;45934;IBIRACI;9109;347;510;857;9.408277527719838;3129707;Ibiraci - MG;10948;83.20241139934235
MG;45950;IBIRITÉ;125561;6741;9332;16073;12.80094933936493;3129806;Ibirité - MG;170537;73.62683757776904
MG;45977;IBITIÚRA DE MINAS;3325;120;264;384;11.548872180451127;3129905;Ibitiúra de Minas - MG;3365;98.81129271916791
MG;45993;IBITURUNA;2557;124;156;280;10.950332420805632;3130002;Ibituruna - MG;2698;94.77390659747962
MG;46019;IGARAPÉ;31870;1535;2224;3759;11.79479133981801;3130101;Igarapé - MG;45847;69.5138176979955
MG;46035;IGARATINGA;8101;473;539;1012;12.492284903098383;3130200;Igaratinga - MG;10830;74.80147737765466
MG;46051;IGUATAMA;6451;246;402;648;10.044954270655712;3130309;Iguatama - MG;6826;94.50629944330501
MG;46078;IJACI;5396;348;500;848;15.715344699777614;3130408;Ijaci - MG;7003;77.05269170355562
MG;46094;ILICÍNEA;9824;476;563;1039;10.57614006514658;3130507;Ilicínea - MG;12741;77.10540773879602
MG;46116;INCONFIDENTES;6358;326;374;700;11.00975149418056;3130606;Inconfidentes - MG;7301;87.083961101219
MG;46132;INDIANÓPOLIS;4877;170;330;500;10.25220422390814;3130705;Indianópolis - MG;6171;79.0309512234646
MG;46159;INGAÍ;2477;145;204;349;14.089624545821556;3130804;Ingaí - MG;2580;96.0077519379845
MG;46175;INHAPIM;20137;674;1276;1950;9.683666881859263;3130903;Inhapim - MG;22692;88.74052529525824
MG;46191;INHAÚMA;5721;280;420;700;12.2356231428072;3131000;Inhaúma - MG;6239;91.69738740182721
MG;46213;INIMUTABA;6285;271;404;675;10.739856801909308;3131109;Inimutaba - MG;7371;85.26658526658527
MG;46230;IPANEMA;15549;500;918;1418;9.119557527815294;3131208;Ipanema - MG;19522;79.6486015777072
MG;46256;IPATINGA;179856;6778;8782;15560;8.651365536873943;3131307;Ipatinga - MG;227731;78.97738999082252
MG;46272;IPIAÇU;3691;97;186;283;7.667298835004063;3131406;Ipiaçu - MG;3775;97.77483443708608
MG;46299;IPUIÚNA;7762;279;444;723;9.314609636691577;3131505;Ipuiúna - MG;9135;84.96989600437877
MG;46310;IRAÍ DE MINAS;6095;180;350;530;8.695652173913043;3131604;Iraí de Minas - MG;7180;84.88857938718662
MG;46337;ITABIRA;91094;5095;8803;13898;15.256767734428172;3131703;Itabira - MG;113343;80.37020371791817
MG;46353;ITABIRINHA;8149;227;537;764;9.375383482635906;3131802;Itabirinha - MG;10362;78.64311908897896
MG;46370;ITABIRITO;42901;2785;3932;6717;15.656977692827672;3131901;Itabirito - MG;53365;80.39164246228802
MG;46396;ITACAMBIRA;4578;109;297;406;8.868501529051988;3132008;Itacambira - MG;4252;107.66698024459077
MG;46418;ITACARAMBI;13692;375;1068;1443;10.53900087642419;3132107;Itacarambi - MG;17208;79.56764295676429
MG;46434;ITAGUARA;10865;771;1018;1789;16.465715600552233;3132206;Itaguara - MG;13846;78.47031633684819
MG;46450;ITAIPÉ;9284;227;777;1004;10.814304179233089;3132305;Itaipé - MG;10463;88.7317213036414
MG;46477;ITAJUBÁ;73286;3383;4048;7431;10.13972655077368;3132404;Itajubá - MG;93073;78.74034360125923
MG;46493;ITAMARANDIBA;25660;1373;2264;3637;14.173811379579112;3132503;Itamarandiba - MG;32948;77.88029622435353
MG;46515;ITAMARATI DE MINAS;3637;115;250;365;10.035743744844652;3132602;Itamarati de Minas - MG;3690;98.56368563685636
MG;46531;ITAMBACURI;18459;463;1398;1861;10.08180291456742;3132701;Itambacuri - MG;21042;87.72455089820359
MG;46558;ITAMBÉ DO MATO DENTRO;2491;62;239;301;12.083500602167804;3132800;Itambé do Mato Dentro - MG;2142;116.29318394024277
MG;46574;ITAMOGI;9319;429;812;1241;13.316879493507887;3132909;Itamogi - MG;10770;86.52739090064996
MG;46590;ITAMONTE;11925;598;928;1526;12.796645702306082;3133006;Itamonte - MG;14786;80.6506154470445
MG;46612;ITANHANDU;12483;727;895;1622;12.993671393094608;3133105;Itanhandu - MG;15236;81.93095300603834
